,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
RGS17,7.3706E-05,6.0707E-03,1.2450,1.0274E-02,0.5200,1.8671E-03,1.9701
RP11-697E2.7,7.3722E-05,6.0713E-03,1.0839,8.6148E-05,0.5413,1.2057E-02,1.6265
KIF12,7.3933E-05,6.0800E-03,1.5048,2.3001E-03,0.8317,9.8599E-03,2.1780
KCNH7,7.4335E-05,6.0965E-03,1.8291,5.4568E-09,0.9775,1.2193E-02,2.6808
RGP1,7.5658E-05,6.1505E-03,0.6529,1.1692E-02,0.2146,6.0947E-04,1.0912
DDHD2,7.6513E-05,6.1852E-03,0.7838,6.5349E-03,0.5021,5.8354E-03,1.0655
RANBP2,7.6535E-05,6.1861E-03,0.6776,1.0052E-02,0.3791,2.3206E-03,0.9760
CITED2,7.6621E-05,6.1895E-03,1.0116,1.0671E-02,0.5271,1.7076E-03,1.4961
B3GAT1,7.6643E-05,6.1904E-03,0.7043,3.1290E-03,0.3767,9.2519E-03,1.0319
PHF20L1,7.8565E-05,6.2676E-03,0.8646,2.1240E-03,0.3262,1.0411E-02,1.4030
RP11-204C16.4,7.8868E-05,6.2796E-03,1.9502,1.2559E-02,0.7329,9.7505E-08,3.1676
NR4A3,7.9520E-05,6.3056E-03,1.4817,1.3800E-03,1.0723,1.1231E-02,1.8911
TMEM155,7.9626E-05,6.3098E-03,1.4437,3.4742E-03,1.1643,9.1453E-03,1.7232
OSBP2,8.4756E-05,6.5099E-03,0.8744,3.2216E-04,0.5995,1.2698E-02,1.1493
MOXD1,8.5204E-05,6.5270E-03,-1.0971,2.8680E-03,-0.6801,1.0186E-02,-1.5141
TBRG1,8.5288E-05,6.5303E-03,1.0569,1.1280E-02,0.4566,1.7800E-03,1.6572
CACNA2D1,8.5609E-05,6.5425E-03,1.0050,2.3654E-03,0.7630,1.0720E-02,1.2470
HRH2,8.5934E-05,6.5549E-03,2.4264,1.3107E-02,0.5313,2.9995E-06,4.3216
SLMAP,8.8425E-05,6.6493E-03,0.6416,4.5747E-07,0.3276,1.3298E-02,0.9556
CELF2,8.9759E-05,6.6992E-03,0.8514,8.1396E-03,0.4878,5.2589E-03,1.2150
LMNA,9.1726E-05,6.7722E-03,-1.0934,1.2198E-02,-0.7805,1.3465E-03,-1.4063
CRYL1,9.2125E-05,6.7870E-03,-1.0443,3.5509E-03,-0.5452,1.0023E-02,-1.5434
