,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
SLC2A13,1.1105E-05,1.3514E-02,1.5401,8.4605E-05,1.1777,2.6312E-05,2.1110,4.0430E-02,1.3316
PCDH17,1.1128E-05,1.3523E-02,0.6853,1.5664E-02,0.4978,1.9046E-02,1.0102,5.8581E-03,0.5477
CDH10,1.1835E-05,1.3804E-02,0.9340,3.1649E-04,0.6779,9.1544E-03,1.5522,3.1940E-02,0.5719
ITGA2B,1.2079E-05,1.3898E-02,-1.6185,3.1421E-17,-1.9772,3.7294E-02,-1.9677,4.3991E-03,-0.9107
COQ2,1.2104E-05,1.3907E-02,0.6788,2.0100E-08,0.7809,2.0870E-02,0.8423,2.0851E-02,0.4131
SLCO4A1,1.3120E-05,1.4286E-02,-1.7984,1.9985E-02,-0.8484,1.6417E-04,-3.0964,2.2709E-02,-1.4503
ZNF711,1.3269E-05,1.4340E-02,0.7409,5.4995E-04,0.5365,2.5063E-03,1.4559,3.9963E-02,0.2302
LASP1,1.3459E-05,1.4408E-02,0.8317,1.4166E-07,0.6508,1.9143E-03,1.3746,4.1309E-02,0.4697
TAPT1-AS1,1.3775E-05,1.4520E-02,-0.8188,6.2063E-04,-0.5719,2.3370E-02,-1.3839,1.9569E-02,-0.5005
GPAT2,1.4127E-05,1.4642E-02,-1.3143,8.6495E-06,-1.3036,2.4126E-02,-1.8213,1.9792E-02,-0.8180
MIR4500HG,1.4559E-05,1.4790E-02,1.8687,3.0655E-02,0.4978,1.0186E-02,3.4787,3.5294E-03,1.6296
SMPD3,1.5472E-05,1.5093E-02,1.1063,4.8378E-03,0.6728,3.6647E-03,1.7484,3.6777E-02,0.8977
